location_id	address_1	address_2	city	state	zip	county	location_source_value	country_concept_id	country_source_value	latitude	longitude
1							N21000001			54.77806905128977	-6.267626336872539
2							N21000002			54.756796203203415	-6.109235664274456
3							N21000003			54.75903381448611	-6.431761111311633
4							N21000004			54.75054226937883	-6.325628039755614
5							N21000005			54.75043295386715	-6.3117767919856105
6							N21000006			54.733247019259785	-6.330287693852609
7							N21000007			54.73744339097576	-6.215527330783582
8							N21000008			54.731197769800666	-6.195656136676365
9							N21000009			54.725838512256196	-6.23601330812459
10							N21000010			54.72302570805938	-6.208718521035129
11							N21000011			54.71958993724246	-6.1967736102024435
12							N21000012			54.719118262060064	-6.175965084054202
13							N21000013			54.71574128906259	-6.215770392506834
14							N21000014			54.715542697860826	-6.203352159079619
15							N21000015			54.70982167613969	-6.192876370681655
16							N21000016			54.70911416376203	-6.185612238415928
17							N21000017			54.70705658729101	-6.203381067738749
18							N21000018			54.70583540294547	-6.225739748782028
19							N21000019			54.7645035391851	-6.033933835787704
20							N21000020			54.75926527675361	-6.006480399475162
21							N21000021			54.752263945908865	-6.004825731002414
22							N21000022			54.75058140601287	-5.9922415617443425
23							N21000023			54.74739387404497	-6.015761505305921
24							N21000024			54.745567757298865	-5.943117976451494
25							N21000025			54.73831478161712	-6.042960329368509
26							N21000026			54.725291491195584	-6.01628618954513
27							N21000027			54.70594621840342	-5.971491263674322
28							N21000028			54.70215063303045	-5.9141882273566875
29							N21000029			54.69410467487899	-5.90901069821189
30							N21000030			54.6925128232511	-5.943881719023127
31							N21000031			54.690669850009684	-5.897037131571176
32							N21000032			54.68861018137637	-5.933593425110041
33							N21000033			54.686766757733544	-5.884405010355189
34							N21000034			54.68688021153315	-5.943335305767634
35							N21000035			54.68562300829105	-5.906942589462213
36							N21000036			54.684917391552375	-5.9138341487167265
37							N21000037			54.679964507607366	-5.933573491358178
38							N21000038			54.67835808490895	-5.89716923247191
39							N21000039			54.67716608208476	-5.910743406870751
40							N21000040			54.67252482709582	-5.927313822024368
41							N21000041			54.67079334966671	-5.907614762594148
42							N21000042			54.66971862913723	-5.9165634568480465
43							N21000043			54.66516642187846	-5.922300294261497
44							N21000044			54.66172556562593	-5.905569731833966
45							N21000045			54.66281914952806	-5.932479391960749
46							N21000046			54.66244526223734	-5.912574363416345
47							N21000047			54.65303523469401	-5.920555337756898
48							N21000048			54.68742790166263	-5.960919791904926
49							N21000049			54.68442828334253	-5.954017547408573
50							N21000050			54.68397301248081	-5.97244128661957
51							N21000051			54.68031848162666	-5.957705303657503
52							N21000052			54.679388566627644	-5.965043313447462
53							N21000053			54.67509684791361	-5.951353967907041
54							N21000054			54.67481491119185	-5.969913505399013
55							N21000055			54.673536097467085	-5.9607205277615325
56							N21000056			54.66920839463148	-5.94586512917843
57							N21000057			54.666880364454926	-5.957118775405023
58							N21000058			54.65812936677986	-5.968356318160518
59							N21000059			54.700908726075696	-6.094793624483041
60							N21000060			54.700813355545286	-6.145959202629855
61							N21000061			54.67891840372181	-6.053866751968621
62							N21000062			54.68026775689733	-5.998191669134615
63							N21000063			54.67040109789604	-5.983228994366204
64							N21000064			54.646839512626485	-6.244914802210943
65							N21000065			54.63982782060761	-6.134054302827648
66							N21000066			54.6214821402611	-6.218611076900809
67							N21000067			54.61775941537348	-6.214087305849615
68							N21000068			54.40401025298262	-6.672757860582144
69							N21000069			54.35554777353073	-6.629153836024982
70							N21000070			54.355870498307624	-6.647081646795939
71							N21000071			54.35119437808232	-6.668805756370823
72							N21000072			54.357203590494024	-6.7928127366070665
73							N21000073			54.34726697332857	-6.655744516090176
74							N21000074			54.33880158279318	-6.654148524143862
75							N21000075			54.335661494236795	-6.632232452220838
76							N21000076			54.31996605089884	-6.711474969138776
77							N21000077			54.25500181741494	-6.772862391766128
78							N21000078			54.249017583446765	-6.70318171240429
79							N21000079			54.48430765856412	-6.598471747664126
80							N21000080			54.46659515757783	-6.504441407547629
81							N21000081			54.43410126449573	-6.462549513044056
82							N21000082			54.43241986050761	-6.447838146398704
83							N21000083			54.42730646843095	-6.452090239456086
84							N21000084			54.42579517994029	-6.437936698105886
85							N21000085			54.423847875745516	-6.4591266243173715
86							N21000086			54.4226005785076	-6.427842712909686
87							N21000087			54.4222863387425	-6.5955056698313115
88							N21000088			54.42009634768381	-6.4614067668473645
89							N21000089			54.41526157455175	-6.442923542316978
90							N21000090			54.41525513282863	-6.450555869891645
91							N21000091			54.412378533065734	-6.4597939159773885
92							N21000092			54.40629510433772	-6.448816524600039
93							N21000093			54.407698565683205	-6.477973169737038
94							N21000094			54.4882131678098	-6.436692158521699
95							N21000095			54.46468071816866	-6.370880303953669
96							N21000096			54.45074850586596	-6.4038498001228366
97							N21000097			54.44864142618317	-6.370328449271394
98							N21000098			54.44433360536042	-6.35525560640276
99							N21000099			54.442213933329846	-6.402138990869072
100							N21000100			54.437623075048705	-6.362071683411017
101							N21000101			54.4381582518852	-6.4263475051332035
102							N21000102			54.434952915753236	-6.41233452301278
103							N21000103			54.42531290216162	-6.418880013638016
104							N21000104			54.4258592428282	-6.357178127178953
105							N21000105			54.422309396983096	-6.413234635023699
106							N21000106			54.41473623803446	-6.3889639918165875
107							N21000107			54.51883951756569	-6.2884066836981605
108							N21000108			54.48589200416106	-6.303599939144669
109							N21000109			54.480033140380584	-6.344355399675246
110							N21000110			54.47486467579092	-6.321692303588022
111							N21000111			54.472210292310386	-6.331135970980536
112							N21000112			54.469081428019486	-6.348376347009332
113							N21000113			54.466788585797346	-6.331365503028043
114							N21000114			54.4652217099902	-6.258468222346673
115							N21000115			54.460803636152285	-6.2936237810869615
116							N21000116			54.461279071190134	-6.326246167173514
117							N21000117			54.46027509469945	-6.339476532401454
118							N21000118			54.45912518488796	-6.352664184126075
119							N21000119			54.45729808537489	-6.312228635035519
120							N21000120			54.45514785564618	-6.333953441860627
121							N21000121			54.454066234058104	-6.346559465339179
122							N21000122			54.45088577037887	-6.323507162883618
123							N21000123			54.449838833783346	-6.336391703979476
124							N21000124			54.43810312651292	-6.299516348414543
125							N21000125			54.43161980683196	-6.297283253155332
126							N21000126			54.43254456673461	-6.252895315449814
127							N21000127			54.41711518669479	-6.139240623565906
128							N21000128			54.41840279364073	-6.258721131344344
129							N21000129			54.4139784534518	-6.150859862672398
130							N21000130			54.412558897366296	-6.303988960123673
131							N21000131			54.407702147351216	-6.157868805556353
132							N21000132			54.39706997055971	-6.214010551112185
133							N21000133			54.3951421348516	-6.133235636614528
134							N21000134			54.3760556580551	-6.068170076621901
135							N21000135			54.33901105864723	-6.104809155852118
136							N21000136			54.38671035606072	-6.351040733310301
137							N21000137			54.37529150959446	-6.362841024772925
138							N21000138			54.358123401449944	-6.265058650591707
139							N21000139			54.35687469923721	-6.279525636772242
140							N21000140			54.351111740401734	-6.266067172623705
141							N21000141			54.35051777549858	-6.327222048439057
142							N21000142			54.34611637544112	-6.277313371429343
143							N21000143			54.346944741530976	-6.288631233854531
144							N21000144			54.34477809777699	-6.255665921228439
145							N21000145			54.33672798691947	-6.273503621951243
146							N21000146			54.30816753653391	-6.220763437964786
147							N21000147			54.29270635148391	-6.333113097822529
148							N21000148			54.2714668845505	-6.122626247706198
149							N21000149			54.236277109405904	-6.163558972215544
150							N21000150			54.37119057186531	-6.447650504945555
151							N21000151			54.37251364149776	-6.549569879875669
152							N21000152			54.35913176920346	-6.415317059216825
153							N21000153			54.357425520028926	-6.457304912072229
154							N21000154			54.36185237650433	-6.5699732495932865
155							N21000155			54.35319565724163	-6.411134640225009
156							N21000156			54.32689720777335	-6.517320533798379
157							N21000157			54.29345838546857	-6.432958589757136
158							N21000158			54.29559928994028	-6.521866429231551
159							N21000159			54.267755779662274	-6.570919175357877
160							N21000160			54.25007073655538	-6.659784016752541
161							N21000161			54.63697302908803	-5.990806560732551
162							N21000162			54.6294227254743	-5.968796682459748
163							N21000163			54.6277646119264	-5.963992602644249
164							N21000164			54.625961932061394	-5.986364884955867
165							N21000165			54.62339656994161	-5.962931146694126
166							N21000166			54.62440082702045	-5.976072735119116
167							N21000167			54.621150687946475	-5.946329965192914
168							N21000168			54.61869303619628	-5.956435252384618
169							N21000169			54.618458164644906	-5.962868323894195
170							N21000170			54.618493042329504	-5.968767734841547
171							N21000171			54.61599627054924	-5.945547112611697
172							N21000172			54.61552836288884	-5.951383686202621
173							N21000173			54.61406264226163	-5.961565072134021
174							N21000174			54.61276691882446	-5.952963036759679
175							N21000175			54.61245392433668	-5.939733493201656
176							N21000176			54.61018609395569	-5.933350070028742
177							N21000177			54.60878905548536	-5.928769993523232
178							N21000178			54.60656291032495	-5.934620849327723
179							N21000179			54.65755615668223	-5.942662826261386
180							N21000180			54.650323312778404	-5.9295983151717895
181							N21000181			54.644264481546486	-5.927955803480576
182							N21000182			54.64358842517907	-5.949014087730001
183							N21000183			54.63860173753482	-5.924985943063919
184							N21000184			54.63601682963756	-5.936285579643905
185							N21000185			54.633577480615095	-5.957194660310139
186							N21000186			54.632530893471646	-5.929545173322501
187							N21000187			54.62959063304732	-5.948963459056201
188							N21000188			54.6279091803451	-5.925008838427125
189							N21000189			54.62810516898967	-5.940850141999351
190							N21000190			54.6260741754327	-5.933292581467082
191							N21000191			54.624050730019725	-5.925662063057338
192							N21000192			54.62827994606594	-5.906932002260243
193							N21000193			54.6234748532599	-5.938411844519142
194							N21000194			54.61974900344613	-5.933118967060783
195							N21000195			54.61790586694793	-5.925848270917478
196							N21000196			54.61561804907953	-5.932376996036463
197							N21000197			54.622822860539515	-5.87286507675054
198							N21000198			54.60942973811792	-5.90164507669162
199							N21000199			54.60685715677882	-5.882677491307342
200							N21000200			54.6030517185279	-5.8801001670098945
201							N21000201			54.60210801675048	-5.887713948736272
202							N21000202			54.60082798067612	-5.896504167454133
203							N21000203			54.5995044556166	-5.879339133193519
204							N21000204			54.597968480969534	-5.907401688751327
205							N21000205			54.5968974823998	-5.888790318926058
206							N21000206			54.5964927339413	-5.879727877727422
